"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US06001","Alameda County, California","1661584","*****","*****","null",
"0500000US06003","Alpine County, California","1159","172","null","null",
"0500000US06005","Amador County, California","39023","*****","*****","null",
"0500000US06007","Butte County, California","223344","*****","*****","null",
"0500000US06009","Calaveras County, California","45828","*****","*****","null",
"0500000US06011","Colusa County, California","21491","*****","*****","null",
"0500000US06013","Contra Costa County, California","1147788","*****","*****","null",
"0500000US06015","Del Norte County, California","27692","*****","*****","null",
"0500000US06017","El Dorado County, California","190345","*****","*****","null",
"0500000US06019","Fresno County, California","990204","*****","*****","null",
"0500000US06021","Glenn County, California","28060","*****","*****","null",
"0500000US06023","Humboldt County, California","136101","*****","*****","null",
"0500000US06025","Imperial County, California","180580","*****","*****","null",
"0500000US06027","Inyo County, California","17930","*****","*****","null",
"0500000US06029","Kern County, California","892458","*****","*****","null",
"0500000US06031","Kings County, California","151090","*****","*****","null",
"0500000US06033","Lake County, California","64276","*****","*****","null",
"0500000US06035","Lassen County, California","30600","*****","*****","null",
"0500000US06037","Los Angeles County, California","10040682","*****","*****","null",
"0500000US06039","Madera County, California","155925","*****","*****","null",
"0500000US06041","Marin County, California","259441","*****","*****","null",
"0500000US06043","Mariposa County, California","17319","*****","*****","null",
"0500000US06045","Mendocino County, California","87110","*****","*****","null",
"0500000US06047","Merced County, California","273661","*****","*****","null",
"0500000US06049","Modoc County, California","8853","*****","*****","null",
"0500000US06051","Mono County, California","14395","*****","*****","null",
"0500000US06053","Monterey County, California","432977","*****","*****","null",
"0500000US06055","Napa County, California","138572","*****","*****","null",
"0500000US06057","Nevada County, California","99417","*****","*****","null",
"0500000US06059","Orange County, California","3170345","*****","*****","null",
"0500000US06061","Placer County, California","391799","*****","*****","null",
"0500000US06063","Plumas County, California","18844","*****","*****","null",
"0500000US06065","Riverside County, California","2437864","*****","*****","null",
"0500000US06067","Sacramento County, California","1537948","*****","*****","null",
"0500000US06069","San Benito County, California","61547","*****","*****","null",
"0500000US06071","San Bernardino County, California","2162532","*****","*****","null",
"0500000US06073","San Diego County, California","3323970","*****","*****","null",
"0500000US06075","San Francisco County, California","874784","*****","*****","null",
"0500000US06077","San Joaquin County, California","751615","*****","*****","null",
"0500000US06079","San Luis Obispo County, California","282517","*****","*****","null",
"0500000US06081","San Mateo County, California","765623","*****","*****","null",
"0500000US06083","Santa Barbara County, California","444895","*****","*****","null",
"0500000US06085","Santa Clara County, California","1924379","*****","*****","null",
"0500000US06087","Santa Cruz County, California","273170","*****","*****","null",
"0500000US06089","Shasta County, California","179267","*****","*****","null",
"0500000US06091","Sierra County, California","2898","172","null","null",
"0500000US06093","Siskiyou County, California","43516","*****","*****","null",
"0500000US06095","Solano County, California","444538","*****","*****","null",
"0500000US06097","Sonoma County, California","496801","*****","*****","null",
"0500000US06099","Stanislaus County, California","546235","*****","*****","null",
"0500000US06101","Sutter County, California","96315","*****","*****","null",
"0500000US06103","Tehama County, California","64176","*****","*****","null",
"0500000US06105","Trinity County, California","12541","*****","*****","null",
"0500000US06107","Tulare County, California","463955","*****","*****","null",
"0500000US06109","Tuolumne County, California","54147","*****","*****","null",
"0500000US06111","Ventura County, California","845599","*****","*****","null",
"0500000US06113","Yolo County, California","218774","*****","*****","null",
"0500000US06115","Yuba County, California","77524","*****","*****","null",
