Species,Accuracy,Precision,Recall,F1 Score
Mantis religiosa,1.0,1.0,1.0,1.0
Stagmomantis californica,0.3333333333333333,0.16666666666666666,0.25,0.2
Litaneutria pacifica,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.4444444444444444
Litaneutria skinneri,0.8333333333333334,0.5,0.5,0.5
Stagmomantis limbata,0.4166666666666667,0.4444444444444444,0.6666666666666666,0.5333333333333333
Iris oratoria,0.75,0.8,0.6666666666666666,0.7272727272727272
Miomantis caffra,1.0,0.0,0.0,0.0
Litaneutria ocularis,0.8333333333333334,1.0,0.6,0.7499999999999999
Tenodera sinensis,0.75,0.5,0.3333333333333333,0.4
Litaneutria chaparrali,0.9166666666666666,0.0,0.0,0.0
Hierodula patellifera,0.9166666666666666,0.0,0.0,0.0
Litaneutria minor,0.8333333333333334,0.0,0.0,0.0
Yersiniops newboldi,0.9166666666666666,0.0,0.0,0.0
Thesprotia graminis,1.0,0.0,0.0,0.0
