County,Unique_Ecoregions
Alameda,"{'Central California Foothills and Coastal Mountains', 'Central California Valley'}"
Alpine,"{'Sierra Nevada', 'Central Basin and Range'}"
Amador,"{'Central California Foothills and Coastal Mountains', 'Sierra Nevada'}"
Butte,"{'Central California Foothills and Coastal Mountains', 'Cascades', 'Sierra Nevada', 'Central California Valley'}"
Calaveras,"{'Central California Foothills and Coastal Mountains', 'Sierra Nevada'}"
Colusa,"{'Central California Valley', 'Central California Foothills and Coastal Mountains', 'Klamath Mountains/California High North Coast Range'}"
Contra Costa,"{'Central California Foothills and Coastal Mountains', 'Central California Valley'}"
Del Norte,"{'Klamath Mountains/California High North Coast Range', 'Coast Range'}"
El Dorado,"{'Central California Foothills and Coastal Mountains', 'Sierra Nevada'}"
Fresno,"{'Central California Foothills and Coastal Mountains', 'Sierra Nevada', 'Central California Valley'}"
Glenn,"{'Central California Foothills and Coastal Mountains', 'Klamath Mountains/California High North Coast Range', 'Central California Valley'}"
Humboldt,"{'Klamath Mountains/California High North Coast Range', 'Coast Range'}"
Imperial,{'Sonoran Basin and Range'}
Inyo,"{'Central Basin and Range', 'Sierra Nevada', 'Mojave Basin and Range'}"
Kern,"{'Sierra Nevada', 'Central California Foothills and Coastal Mountains', 'Southern California Mountains', 'Mojave Basin and Range', 'Central California Valley'}"
Kings,"{'Central California Foothills and Coastal Mountains', 'Central California Valley'}"
Lake,"{'Central California Foothills and Coastal Mountains', 'Klamath Mountains/California High North Coast Range'}"
Lassen,"{'Sierra Nevada', 'Cascades', 'Northern Basin and Range', 'Eastern Cascades Slopes and Foothills', 'Central Basin and Range'}"
Los Angeles,"{'Southern California Mountains', 'Sierra Nevada', 'Southern California/Northern Baja Coast', 'Mojave Basin and Range'}"
Madera,"{'Central California Valley', 'Central California Foothills and Coastal Mountains', 'Sierra Nevada'}"
Marin,"{'Central California Foothills and Coastal Mountains', 'Coast Range'}"
Mariposa,"{'Central California Valley', 'Central California Foothills and Coastal Mountains', 'Sierra Nevada'}"
Mendocino,"{'Central California Foothills and Coastal Mountains', 'Coast Range', 'Klamath Mountains/California High North Coast Range'}"
Merced,"{'Central California Foothills and Coastal Mountains', 'Central California Valley'}"
Modoc,"{'Cascades', 'Northern Basin and Range', 'Eastern Cascades Slopes and Foothills'}"
Mono,"{'Sierra Nevada', 'Central Basin and Range'}"
Monterey,{'Central California Foothills and Coastal Mountains'}
Napa,{'Central California Foothills and Coastal Mountains'}
Nevada,"{'Central California Foothills and Coastal Mountains', 'Sierra Nevada'}"
Orange,{'Southern California/Northern Baja Coast'}
Placer,"{'Central California Foothills and Coastal Mountains', 'Sierra Nevada', 'Central California Valley'}"
Plumas,"{'Cascades', 'Sierra Nevada', 'Central Basin and Range'}"
Riverside,"{'Southern California Mountains', 'Southern California/Northern Baja Coast', 'Sonoran Basin and Range', 'Mojave Basin and Range'}"
Sacramento,"{'Central California Foothills and Coastal Mountains', 'Central California Valley'}"
San Benito,"{'Central California Foothills and Coastal Mountains', 'Coast Range'}"
San Bernardino,"{'Southern California Mountains', 'Sonoran Basin and Range', 'Southern California/Northern Baja Coast', 'Mojave Basin and Range'}"
San Diego,"{'Southern California Mountains', 'Southern California/Northern Baja Coast', 'Sonoran Basin and Range'}"
San Francisco,"{'Central California Foothills and Coastal Mountains', 'Coast Range'}"
San Joaquin,"{'Central California Foothills and Coastal Mountains', 'Central California Valley'}"
San Luis Obispo,"{'Central California Foothills and Coastal Mountains', 'Central California Valley'}"
San Mateo,"{'Central California Foothills and Coastal Mountains', 'Coast Range'}"
Santa Barbara,"{'Central California Foothills and Coastal Mountains', 'Southern California Mountains', 'Southern California/Northern Baja Coast'}"
Santa Clara,"{'Central California Foothills and Coastal Mountains', 'Coast Range'}"
Santa Cruz,"{'Central California Foothills and Coastal Mountains', 'Coast Range'}"
Shasta,"{'Central California Foothills and Coastal Mountains', 'Cascades', 'Klamath Mountains/California High North Coast Range', 'Eastern Cascades Slopes and Foothills'}"
Sierra,"{'Sierra Nevada', 'Central Basin and Range'}"
Siskiyou,"{'Klamath Mountains/California High North Coast Range', 'Cascades', 'Eastern Cascades Slopes and Foothills'}"
Solano,"{'Central California Foothills and Coastal Mountains', 'Central California Valley'}"
Sonoma,"{'Central California Foothills and Coastal Mountains', 'Coast Range'}"
Stanislaus,"{'Central California Foothills and Coastal Mountains', 'Central California Valley'}"
Sutter,{'Central California Valley'}
Tehama,"{'Central California Valley', 'Central California Foothills and Coastal Mountains', 'Cascades', 'Klamath Mountains/California High North Coast Range'}"
Trinity,"{'Central California Foothills and Coastal Mountains', 'Klamath Mountains/California High North Coast Range'}"
Tulare,"{'Central California Foothills and Coastal Mountains', 'Sierra Nevada', 'Central California Valley'}"
Tuolumne,"{'Central California Foothills and Coastal Mountains', 'Sierra Nevada'}"
Ventura,"{'Central California Foothills and Coastal Mountains', 'Southern California Mountains', 'Southern California/Northern Baja Coast'}"
Yolo,"{'Central California Valley', 'Central California Foothills and Coastal Mountains'}"
Yuba,"{'Central California Foothills and Coastal Mountains', 'Sierra Nevada', 'Central California Valley'}"
